"tweet","time","tweeter","number_of_retweets","number_of_favourites""b'If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira\xe2\x80\xa6 https://t.co/NFxR4gJCei'",2019-11-11 02:25:09,realDonaldTrump,18773,75052
"b'RT @GreggJarrett: Gregg Jarrett Unravels the Coordinated, Premeditated Plot to Impeach Trump https://t.co/BDOQ4WM4sK'",2019-11-10 02:26:22,realDonaldTrump,8660,0
b'RT @AndrewPollackFL: A couple people boo President Trump at the Nationals game in DC:\n\nMedia: BREAKING NEWS\n\nThe entire stadium cheering fo\xe2\x80\xa6',2019-11-10 02:17:03,realDonaldTrump,40738,0
"b'RT @realDonaldTrump: But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me, the Do Nothing De\xe2\x80\xa6'",2019-11-10 02:13:07,realDonaldTrump,16170,0
b'RT @realDonaldTrump: PRESIDENTIAL HARASSMENT!',2019-11-10 02:12:21,realDonaldTrump,25437,0
b'RT @realDonaldTrump: ....Whatever happened to the so-called \xe2\x80\x9cinformer\xe2\x80\x9d to Whistleblower #1? Seems to have disappeared after I released the\xe2\x80\xa6',2019-11-10 02:12:17,realDonaldTrump,18577,0
"b'RT @realDonaldTrump: I recommend that Nervous Nancy Pelosi (who backed up Schiff\xe2\x80\x99s lie), Shifty Adam Schiff, Sleepy Joe Biden, the Whistleb\xe2\x80\xa6'",2019-11-10 02:12:14,realDonaldTrump,25027,0
b'\xe2\x80\x9cHe is not a Whistleblower. He is a deepstater. Let the President do the job he was elected to do.\xe2\x80\x9d @JudgeJeanine',2019-11-10 02:10:33,realDonaldTrump,16132,65983
b'Such GREAT people! https://t.co/y5IgJXXfXf',2019-11-10 01:56:41,realDonaldTrump,12454,60728
"b'RT @GOPChairwoman: We know Adam Schiff coordinated with the whistleblower, then lied about it.\n \nBut now we have learned ANOTHER Democrat s\xe2\x80\xa6'",2019-11-10 01:49:46,realDonaldTrump,12247,0
b'RT @GOP: The Trump Campaign just launched \xe2\x80\x9cVeterans for Trump.\xe2\x80\x9d \n \n@realDonaldTrump is delivering for veterans:\n*Signed Veterans Accountabi\xe2\x80\xa6',2019-11-10 01:49:26,realDonaldTrump,7340,0
"b'RT @GOPChairwoman: Must read op-ed by @RepMikeRogersAL, @RepAdrianSmith, @RepWalberg, @RepAnnWagner, @RepRossSpano, &amp; @RepDanBishop:\n \nDemo\xe2\x80\xa6'",2019-11-10 01:49:10,realDonaldTrump,5093,0
